"","odor_set","tested_OR","specific_odorant","specific_conc","normLuc_val"
"582","Carvone","Olfr881","pCI_minusD",3.16,0.154206
"583","Carvone","Olfr881","pCI_minusD",1,0.210121
"584","Carvone","Olfr881","pCI_minusD",1,0.168907
"585","Carvone","Olfr881","pCI_minusD",1,0.134666
"586","Carvone","Olfr881","pCI_minusD",0,0.174504
"587","Carvone","Olfr881","pCI_minusD",0,0.189125
"588","Carvone","Olfr881","pCI_minusD",0,0.180916
"589","Carvone","Olfr194","plusH",316,3.264103
"590","Carvone","Olfr194","plusH",316,2.616822
"591","Carvone","Olfr194","plusH",316,3.037218
"592","Carvone","Olfr194","plusH",100,2.238128
"593","Carvone","Olfr194","plusH",100,1.878007
"594","Carvone","Olfr194","plusH",100,1.77163
"595","Carvone","Olfr194","plusH",31.6,0.998883
"596","Carvone","Olfr194","plusH",31.6,1.104096
"597","Carvone","Olfr194","plusH",31.6,0.918103
"598","Carvone","Olfr194","plusH",10,0.924985
"599","Carvone","Olfr194","plusH",10,0.71984
"600","Carvone","Olfr194","plusH",10,0.648583
"601","Carvone","Olfr194","plusH",3.16,0.744011
"602","Carvone","Olfr194","plusH",3.16,0.537673
"603","Carvone","Olfr194","plusH",3.16,0.435468
"604","Carvone","Olfr194","plusH",1,0.491651
"605","Carvone","Olfr194","plusH",1,0.508208
"606","Carvone","Olfr194","plusH",1,0.371301
"607","Carvone","Olfr194","plusH",0,0.542336
"608","Carvone","Olfr194","plusH",0,0.387546
"609","Carvone","Olfr194","plusH",0,0.527623
"610","Carvone","Olfr194","minusD",316,4.266949
"611","Carvone","Olfr194","minusD",316,4.179344
"612","Carvone","Olfr194","minusD",316,4.645205
"613","Carvone","Olfr194","minusD",100,4.712606
"614","Carvone","Olfr194","minusD",100,5.180632
"615","Carvone","Olfr194","minusD",100,5.382454
"616","Carvone","Olfr194","minusD",31.6,4.254808
"617","Carvone","Olfr194","minusD",31.6,5.128664
"618","Carvone","Olfr194","minusD",31.6,4.983696
"619","Carvone","Olfr194","minusD",10,2.693813
"620","Carvone","Olfr194","minusD",10,2.59761
"621","Carvone","Olfr194","minusD",10,2.794888
"622","Carvone","Olfr194","minusD",3.16,1.405128
"623","Carvone","Olfr194","minusD",3.16,1.256327
"624","Carvone","Olfr194","minusD",3.16,1.241197
"625","Carvone","Olfr194","minusD",1,0.659292
"626","Carvone","Olfr194","minusD",1,0.871898
"627","Carvone","Olfr194","minusD",1,0.602136
"628","Carvone","Olfr194","minusD",0,0.325926
"629","Carvone","Olfr194","minusD",0,0.324435
"630","Carvone","Olfr194","minusD",0,0.326625
"631","Carvone","Olfr194","pCI_plusH",316,0.146456
"632","Carvone","Olfr194","pCI_plusH",316,0.13272
"633","Carvone","Olfr194","pCI_plusH",316,0.109384
"634","Carvone","Olfr194","pCI_plusH",100,0.164006
"635","Carvone","Olfr194","pCI_plusH",100,0.163646
"636","Carvone","Olfr194","pCI_plusH",100,0.124934
"637","Carvone","Olfr194","pCI_plusH",31.6,0.24337
"638","Carvone","Olfr194","pCI_plusH",31.6,0.155368
"639","Carvone","Olfr194","pCI_plusH",31.6,0.197987
"640","Carvone","Olfr194","pCI_plusH",10,0.190777
"641","Carvone","Olfr194","pCI_plusH",10,0.243676
"642","Carvone","Olfr194","pCI_plusH",10,0.222672
"643","Carvone","Olfr194","pCI_plusH",3.16,0.146131
"644","Carvone","Olfr194","pCI_plusH",3.16,0.170528
"645","Carvone","Olfr194","pCI_plusH",3.16,0.21845
"646","Carvone","Olfr194","pCI_plusH",1,0.230412
"647","Carvone","Olfr194","pCI_plusH",1,0.255168
"648","Carvone","Olfr194","pCI_plusH",1,0.160635
"649","Carvone","Olfr194","pCI_plusH",0,0.209653
"650","Carvone","Olfr194","pCI_plusH",0,0.188134
"651","Carvone","Olfr194","pCI_plusH",0,0.204643
"652","Carvone","Olfr194","pCI_minusD",316,0.082885
"653","Carvone","Olfr194","pCI_minusD",316,0.136747
"654","Carvone","Olfr194","pCI_minusD",316,0.101145
"655","Carvone","Olfr194","pCI_minusD",100,0.118046
"656","Carvone","Olfr194","pCI_minusD",100,0.121288
"657","Carvone","Olfr194","pCI_minusD",100,0.133396
"658","Carvone","Olfr194","pCI_minusD",31.6,0.212695
"659","Carvone","Olfr194","pCI_minusD",31.6,0.1582
"660","Carvone","Olfr194","pCI_minusD",31.6,0.138667
"661","Carvone","Olfr194","pCI_minusD",10,0.186832
"662","Carvone","Olfr194","pCI_minusD",10,0.201198
"663","Carvone","Olfr194","pCI_minusD",10,0.197425
"664","Carvone","Olfr194","pCI_minusD",3.16,0.246542
"665","Carvone","Olfr194","pCI_minusD",3.16,0.207528
"666","Carvone","Olfr194","pCI_minusD",3.16,0.198233
"667","Carvone","Olfr194","pCI_minusD",1,0.187467
"668","Carvone","Olfr194","pCI_minusD",1,0.222677
"669","Carvone","Olfr194","pCI_minusD",1,0.158367
"670","Carvone","Olfr194","pCI_minusD",0,0.197929
"671","Carvone","Olfr194","pCI_minusD",0,0.229095
"672","Carvone","Olfr194","pCI_minusD",0,0.182864
"673","Carvone","Olfr506","plusH",316,0.13745
"674","Carvone","Olfr506","plusH",316,0.105991
"675","Carvone","Olfr506","plusH",316,0.134597
"676","Carvone","Olfr506","plusH",100,0.131453
"677","Carvone","Olfr506","plusH",100,0.194387
"678","Carvone","Olfr506","plusH",100,0.145528
"679","Carvone","Olfr506","plusH",31.6,0.219017
