"","tested_OR","specific_odorant","comparison","diff","lwr.ci","upr.ci","pval"
"108","Olfr47","pCI_minusD","316-0",-0.0963703333333333,-0.157352667496793,-0.0353879991698738,0.00195015050747405
"109","Olfr47","pCI_plusH","1-0",0.014595,-0.0627309907446572,0.0919209907446572,0.983712859291852
"110","Olfr47","pCI_plusH","3.16-0",-0.0224403333333333,-0.0997663240779905,0.0548856574113239,0.897317019028957
"111","Olfr47","pCI_plusH","10-0",0.0182316666666667,-0.0590943240779905,0.0955576574113239,0.955243826411618
"112","Olfr47","pCI_plusH","31.6-0",-0.00190166666666666,-0.0792276574113239,0.0754243240779905,0.999999846125314
"113","Olfr47","pCI_plusH","100-0",-0.049948,-0.127273990744657,0.0273779907446572,0.291832025430428
"114","Olfr47","pCI_plusH","316-0",-0.07129,-0.148615990744657,0.00603599074465722,0.0756044116925718
"115","Olfr47","plusH","1-0",0.994454,-0.466924101659972,2.45583210165997,0.250194879917978
"116","Olfr47","plusH","3.16-0",1.568909,0.107530898340029,3.03028710165997,0.0332321562715696
"117","Olfr47","plusH","10-0",3.22364866666667,1.7622705650067,4.68502676832664,9.55015524256586e-05
"118","Olfr47","plusH","31.6-0",4.46124666666667,2.99986856500669,5.92262476832664,1.20711435858123e-06
"119","Olfr47","plusH","100-0",4.38532566666667,2.9239475650067,5.84670376832664,1.75921765910303e-06
"120","Olfr47","plusH","316-0",2.19102666666667,0.729648565006695,3.65240476832664,0.00309608735664246
"121","Olfr488","minusD","1-0",-0.0302436666666667,-0.17913776307194,0.118650429738606,0.97698370507263
"122","Olfr488","minusD","3.16-0",0.022653,-0.126241096405273,0.171547096405273,0.994431194466318
"123","Olfr488","minusD","10-0",-0.0429223333333333,-0.191816429738606,0.10597176307194,0.899843596296303
"124","Olfr488","minusD","31.6-0",0.051994,-0.0969000964052728,0.200888096405273,0.80702301195055
"125","Olfr488","minusD","100-0",0.22267,0.0737759035947271,0.371564096405273,0.00333566787378625
"126","Olfr488","minusD","316-0",0.435811,0.286916903594727,0.584705096405273,2.05221601778938e-06
"127","Olfr488","pCI_minusD","1-0",0.0370296666666667,-0.0306753727969619,0.104734706130295,0.439872624454287
