"","tested_OR","specific_odorant","comparison","diff","lwr.ci","upr.ci","pval"
"105","Olfr1451","pCI_minusD","10-0",0.025674,-0.0768258434675335,0.128173843467534,0.942296578805892
"106","Olfr1451","pCI_minusD","31.6-0",0.0169346666666667,-0.0855651768008669,0.1194345101342,0.991529878066685
"107","Olfr1451","pCI_minusD","100-0",-0.009029,-0.111528843467534,0.0934708434675335,0.999718541507195
"108","Olfr1451","pCI_minusD","316-0",0.035836,-0.0666638434675335,0.138335843467534,0.806215277051192
"109","Olfr1451","pCI_plusH","1-0",-0.00940933333333335,-0.130133945181931,0.111315278515264,0.999860785507609
"110","Olfr1451","pCI_plusH","3.16-0",-0.0659446666666667,-0.186669278515264,0.0547799451819308,0.440840878207886
"111","Olfr1451","pCI_plusH","10-0",-0.061972,-0.182696611848597,0.0587526118485975,0.498440725189815
"112","Olfr1451","pCI_plusH","31.6-0",-0.037938,-0.158662611848597,0.0827866118485975,0.863538910960076
"113","Olfr1451","pCI_plusH","100-0",-0.032894,-0.153618611848597,0.0878306118485975,0.919191325066645
"114","Olfr1451","pCI_plusH","316-0",0.052405,-0.0683196118485975,0.173129611848597,0.648533523922116
"115","Olfr1451","plusH","1-0",-0.07122,-0.194510804194582,0.0520708041945818,0.389669381933636
"116","Olfr1451","plusH","3.16-0",-0.0274416666666667,-0.150732470861248,0.0958491375279151,0.965156383717494
"117","Olfr1451","plusH","10-0",-0.062777,-0.186067804194582,0.0605138041945818,0.505974962301935
"118","Olfr1451","plusH","31.6-0",-0.050349,-0.173639804194582,0.0729418041945818,0.698172394440514
"119","Olfr1451","plusH","100-0",-0.031674,-0.154964804194582,0.0916168041945818,0.936015285981767
"120","Olfr1451","plusH","316-0",-0.00537566666666667,-0.128666470861248,0.117915137527915,0.999995342163927
"121","Olfr1454","minusD","1-0",-0.0595046666666667,-0.202611861836198,0.0836025285028643,0.683934066638406
"122","Olfr1454","minusD","3.16-0",-0.0306766666666667,-0.173783861836198,0.112430528502864,0.970544560816623
"123","Olfr1454","minusD","10-0",0.0498886666666667,-0.0932185285028642,0.192995861836198,0.807991257731861
