"","full_pcorr_Euc","full_mse_Euc","full_pcorr_cor","full_mse_cor","full_pcorr_cos","full_mse_cos","lambda","nFeats_Euc","nFeats_cor","nFeats_cos"
"s334",0.83987525793297,7.98158610154389,0.404530003715567,0.00910073950255242,0.30279211581876,0.0175878375037109,1,128,128,128
"s335",0.839825066262219,7.98488870812017,0.404470199651247,0.00910224670978598,0.302731935900385,0.0175894327761186,1.003003003003,128,128,128
"s336",0.839774923886221,7.98818907184938,0.404410629087731,0.00910374871332616,0.302671985346925,0.0175910227711212,1.00600600600601,128,128,128
"s337",0.839724830677032,7.99148719624403,0.404351290519985,0.0091052455412837,0.30261226267091,0.017592607517495,1.00900900900901,128,128,128
"s338",0.839674786507107,7.99478308481538,0.404292182456858,0.0091067372215561,0.302552766398799,0.0175941870437854,1.01201201201201,128,128,128
"s339",0.839624791249294,7.99807674107329,0.404233303420917,0.00910822378182979,0.302493495070809,0.0175957613783095,1.01501501501502,128,128,128
"s340",0.839574844776838,8.00136816852608,0.40417465194829,0.00910970524958221,0.302434447240738,0.0175973305491582,1.01801801801802,128,128,128
"s341",0.839524946963378,8.00465737068034,0.404116226588489,0.00911118165208388,0.302375621475807,0.0175988945841989,1.02102102102102,128,128,128
"s342",0.83947509768295,8.00794435104079,0.404058025904255,0.00911265301640055,0.302317016356501,0.0176004535110782,1.02402402402402,128,128,128
"s343",0.839425296809986,8.01122911311013,0.404000048471408,0.00911411936939516,0.302258630476395,0.0176020073572239,1.02702702702703,128,128,128
"s344",0.83937554421931,8.01451166038893,0.40394229287868,0.00911558073772993,0.302200462442013,0.0176035561498474,1.03003003003003,128,128,128
"s345",0.839325839786147,8.01779199637542,0.403884757727568,0.00911703714786827,0.302142510872659,0.0176050999159464,1.03303303303303,128,128,128
"s346",0.839276183386111,8.02107012456542,0.403827441632185,0.00911848862607676,0.302084774400272,0.0176066386823066,1.03603603603604,128,128,128
"s347",0.839226574895216,8.02434604845217,0.403770343219101,0.00911993519842718,0.302027251669269,0.0176081724755047,1.03903903903904,128,128,128
"s348",0.839177014189866,8.02761977152621,0.403713461127209,0.00912137689079831,0.3019699413364,0.0176097013219099,1.04204204204204,128,128,128
"s349",0.839127501146864,8.03089129727524,0.403656794007572,0.00912281372887787,0.301912842070604,0.0176112252476866,1.04504504504505,128,128,128
"s350",0.839078035643404,8.03416062918401,0.403600340523284,0.00912424573816439,0.301855952552855,0.0176127442787965,1.04804804804805,128,128,128
"s351",0.839028617557075,8.03742777073419,0.403544099349326,0.00912567294396905,0.30179927147603,0.0176142584410005,1.05105105105105,128,128,128
"s352",0.838979246765858,8.04069272540427,0.403488069172435,0.00912709537141748,0.301742797544762,0.0176157677598611,1.05405405405405,128,128,128
"s353",0.83892992314813,8.04395549666939,0.40343224869096,0.00912851304545162,0.301686529475305,0.0176172722607444,1.05705705705706,128,128,128
"s354",0.838880646582656,8.0472160880013,0.40337663661473,0.00912992599083141,0.301630465995399,0.0176187719688221,1.06006006006006,128,128,128
"s355",0.838831416948598,8.0504745028682,0.403321231664922,0.00913133423213659,0.301574605844128,0.0176202669090735,1.06306306306306,128,128,128
"s356",0.838782234125506,8.05373074473464,0.403266032573934,0.00913273779376844,0.301518947771799,0.0176217571062877,1.06606606606607,128,128,128
"s357",0.838733097993324,8.05698481706142,0.403211038085246,0.00913413669995151,0.301463490539801,0.0176232425850653,1.06906906906907,128,128,128
"s358",0.838684008432385,8.06023672330551,0.403156246953304,0.0091355309747352,0.301408232920485,0.0176247233698207,1.07207207207207,128,128,128
"s359",0.838634965323412,8.0634864669199,0.403101657943393,0.0091369206419956,0.30135317369703,0.0176261994847835,1.07507507507508,128,128,128
"s360",0.838585968547518,8.06673405135356,0.403047269831503,0.009138305725437,0.301298311663322,0.0176276709540012,1.07807807807808,128,128,128
"s361",0.838537017986207,8.06997948005128,0.40299308140422,0.0091396862485936,0.301243645623834,0.0176291378013401,1.08108108108108,128,128,128
"s362",0.838488113521367,8.07322275645365,0.402939091458603,0.00914106223483104,0.301189174393494,0.017630600050488,1.08408408408408,128,128,128
"s363",0.838439255035277,8.07646388399691,0.40288529880206,0.00914243370734809,0.301134896797577,0.0176320577249555,1.08708708708709,128,128,128
"s364",0.838390442410603,8.0797028661129,0.40283170225224,0.00914380068917815,0.301080811671581,0.017633510848078,1.09009009009009,128,128,128
"s365",0.838341675530397,8.08293970622895,0.40277830063691,0.00914516320319085,0.30102691786111,0.0176349594430175,1.09309309309309,128,128,128
"s366",0.838292954278096,8.08617440776781,0.402725092793842,0.00914652127209351,0.300973214221761,0.0176364035327642,1.0960960960961,128,128,128
"s367",0.838244278537524,8.08940697414756,0.402672077570712,0.00914787491843275,0.300919699619014,0.0176378431401385,1.0990990990991,128,128,128
"s368",0.838195648192886,8.09263740878156,0.402619253824978,0.00914922416459589,0.30086637292811,0.0176392782877923,1.1021021021021,128,128,128
"s369",0.838147063128775,8.09586571507831,0.402566620423774,0.00915056903281257,0.300813233033956,0.0176407089982112,1.10510510510511,128,128,128
"s370",0.838098523230163,8.09909189644145,0.402514176243805,0.00915190954515603,0.300760278831004,0.0176421352937157,1.10810810810811,128,128,128
"s371",0.838050028382406,8.10231595626962,0.402461920171237,0.0091532457235447,0.300707509223149,0.0176435571964631,1.11111111111111,128,128,128
"s372",0.838001578471241,8.10553789795645,0.402409851101602,0.00915457758974359,0.300654923123623,0.0176449747284491,1.11411411411411,128,128,128
"s373",0.837953173382786,8.10875772489043,0.40235796793968,0.00915590516536565,0.300602519454893,0.0176463879115093,1.11711711711712,128,128,128
"s374",0.837904813003538,8.11197544045491,0.402306269599415,0.00915722847187323,0.300550297148552,0.0176477967673209,1.12012012012012,128,128,128
"s375",0.837856497220373,8.11519104802796,0.402254755003797,0.00915854753057941,0.300498255145226,0.0176492013174041,1.12312312312312,128,128,128
"s376",0.837808225920545,8.11840455098236,0.40220342308478,0.00915986236264945,0.30044639239447,0.0176506015831239,1.12612612612613,128,128,128
"s377",0.837759998991685,8.12161595268553,0.40215227278317,0.00916117298910201,0.300394707854665,0.0176519975856912,1.12912912912913,128,128,128
"s378",0.837711816321802,8.12482525649944,0.402101303048539,0.00916247943081057,0.300343200492932,0.017653389346165,1.13213213213213,128,128,128
"s379",0.837663677799277,8.12803246578061,0.402050512839128,0.00916378170850472,0.300291869285026,0.017654776885453,1.13513513513514,128,128,128
"s380",0.837615583312868,8.13123758387997,0.401999901121747,0.00916507984277148,0.300240713215245,0.0176561602243137,1.13813813813814,128,128,128
"s381",0.837567532751707,8.13444061414288,0.401949466871688,0.00916637385405654,0.300189731276338,0.0176575393833579,1.14114114114114,128,128,128
"s382",0.837519526005298,8.13764155990904,0.401899209072638,0.00916766376266558,0.30013892246941,0.0176589143830494,1.14414414414414,128,128,128
"s383",0.837471562963515,8.14084042451243,0.401849126716578,0.0091689495887655,0.300088285803836,0.0176602852437073,1.14714714714715,128,128,128
"s384",0.837423643516606,8.14403721128131,0.401799218803708,0.00917023135238572,0.300037820297166,0.0176616519855069,1.15015015015015,128,128,128
"s385",0.837375767555186,8.14723192353809,0.401749484342345,0.00917150907341928,0.299987524975039,0.0176630146284812,1.15315315315315,128,128,128
"s386",0.837327934970242,8.15042456459935,0.401699922348845,0.00917278277162418,0.2999373988711,0.017664373192522,1.15615615615616,128,128,128
"s387",0.837280145653126,8.15361513777578,0.401650531847517,0.00917405246662454,0.299887441026903,0.0176657276973817,1.15915915915916,128,128,128
"s388",0.837232399495558,8.1568036463721,0.401601311870542,0.00917531817791178,0.299837650491838,0.0176670781626744,1.16216216216216,128,128,128
"s389",0.837184696389625,8.15999009368707,0.401552261457881,0.00917657992484578,0.29978802632304,0.0176684246078771,1.16516516516517,128,128,128
"s390",0.837137036227778,8.16317448301339,0.401503379657197,0.0091778377266561,0.29973856758531,0.0176697670523313,1.16816816816817,128,128,128
"s391",0.837089418902833,8.16635681763769,0.401454665523783,0.00917909160244304,0.29968927335103,0.0176711055152438,1.17117117117117,128,128,128
