"","full_pcorr_Euc","full_mse_Euc","full_pcorr_cor","full_mse_cor","full_pcorr_cos","full_mse_cos","lambda","nFeats_Euc","nFeats_cor","nFeats_cos"
"s576",0.904423053457634,4.97458467019182,0.402451434579247,0.00913568285460115,0.302936046220716,0.0176356354125749,1.72672672672673,321,321,321
"s577",0.904399337517967,4.97621847258762,0.4023964433243,0.00913656091761806,0.302878724467573,0.0176365946711714,1.72972972972973,321,321,321
"s578",0.904375643447029,4.97785141647741,0.402341563289662,0.00913743708138869,0.302821523930223,0.0176375518335478,1.73273273273273,321,321,321
"s579",0.904351971180915,4.97948350444728,0.402286794084868,0.00913831135245287,0.302764444148137,0.0176385069073347,1.73573573573574,321,321,321
"s580",0.904328320656004,4.98111473907057,0.402232135321498,0.0091391837373187,0.3027074846634,0.0176394599001222,1.73873873873874,321,321,321
"s581",0.904304691808963,4.98274512290793,0.402177586613171,0.00914005424246284,0.302650645020677,0.0176404108194607,1.74174174174174,321,321,321
"s582",0.90428108457674,4.98437465850743,0.402123147575515,0.00914092287433054,0.302593924767192,0.0176413596728607,1.74474474474474,321,321,321
"s583",0.904257498896568,4.98600334840461,0.402068817826175,0.00914178963933607,0.302537323452715,0.0176423064677932,1.74774774774775,321,321,321
"s584",0.904233934705956,4.98763119512258,0.402014596984782,0.00914265454386267,0.302480840629552,0.0176432512116905,1.75075075075075,321,321,321
"s585",0.904210391942696,4.98925820117205,0.401960484672944,0.00914351759426293,0.302424475852499,0.0176441939119453,1.75375375375375,321,321,321
"s586",0.904186870544853,4.99088436905148,0.401906480514236,0.00914437879685893,0.302368228678856,0.0176451345759123,1.75675675675676,321,321,321
"s587",0.90416337045077,4.99250970124707,0.401852584134177,0.00914523815794236,0.302312098668386,0.0176460732109076,1.75975975975976,321,321,321
"s588",0.904139891599064,4.9941342002329,0.401798795160226,0.00914609568377484,0.302256085383304,0.0176470098242092,1.76276276276276,321,321,321
"s589",0.904116433928622,4.99575786847098,0.401745113221764,0.00914695138058799,0.30220018838826,0.0176479444230573,1.76576576576577,321,321,321
"s590",0.904092997378603,4.99738070841131,0.401691537950083,0.00914780525458374,0.302144407250325,0.0176488770146546,1.76876876876877,321,321,321
"s591",0.904069581888436,4.99900272249196,0.401638068978367,0.00914865731193436,0.302088741538959,0.0176498076061666,1.77177177177177,321,321,321
"s592",0.904046187397816,5.00062391313917,0.401584705941691,0.00914950755878282,0.302033190826012,0.0176507362047215,1.77477477477477,321,321,321
"s593",0.904022813846704,5.00224428276738,0.401531448476989,0.00915035600124283,0.30197775468569,0.017651662817411,1.77777777777778,321,321,321
"s594",0.903999461175326,5.00386383377933,0.401478296223059,0.00915120264539909,0.301922432694549,0.0176525874512901,1.78078078078078,321,321,321
"s595",0.90397612932417,5.00548256856614,0.401425248820544,0.00915204749730746,0.301867224431472,0.0176535101133776,1.78378378378378,321,321,321
"s596",0.903952818233986,5.00710048950734,0.401372305911918,0.00915289056299522,0.301812129477656,0.0176544308106563,1.78678678678679,321,321,321
"s597",0.903929527845784,5.00871759897097,0.401319467141466,0.00915373184846101,0.301757147416595,0.0176553495500731,1.78978978978979,321,321,321
"s598",0.903906258100831,5.01033389931366,0.401266732155293,0.0091545713596753,0.301702277834053,0.0176562663385394,1.79279279279279,321,321,321
"s599",0.903883008940653,5.01194939288066,0.401214100601289,0.00915540910258041,0.301647520318068,0.0176571811829314,1.7957957957958,321,321,321
