,cid
1227,140615
1228,112491
1229,90720
1230,8738
1231,5282725
1232,11569
1233,44152459
1234,12978217
1235,61464
1236,97782
1237,61303
1238,62484
1239,7888
1240,61448
1241,24752885
1242,6439529
1243,5282708
1244,5318017
1245,7647
1246,74005
1247,62433
1248,246983
1249,21108
1250,24197
1251,10887828
1252,109301
1253,61935
1254,5283361
1255,441246
1256,61917
1257,88290
1258,237332
1259,139743
1260,11038
1261,11593
1262,11105826
1263,61045
1264,53437836
1265,7585
1266,7456
1267,70792
1268,7358
1269,20836326
1270,116740
1271,8784
1272,21574
1273,61048
1274,108765
1275,8615
1276,6887
1277,7027
1278,62654
1279,25113547
1280,62510
1281,527
1282,61780
1283,103589
1284,33744
1285,41552
1286,62445
1287,10608036
1288,5273464
1289,8103
1290,26289
1291,9261
1292,6436336
1293,6606
1294,61270
1295,89284
1296,62024
1297,16255
1298,357772
1299,80454
1300,94185
1301,91098
1302,235
1303,31226
1304,8363
1305,520300
1306,5352837
1307,642534
1308,7311
1309,12980879
1310,31229
1311,5282110
1312,5317271
1313,14104
1314,5354882
1315,5367677
1316,7344
1317,5283324
1318,8181
1319,61167
1320,6433150
1321,71409403
1322,62592
1323,5362623
1324,44153588
1325,1742210
1326,11746218
1327,7275
1328,32207
1329,6428546
1330,529438
1331,19838
1332,106728
1333,15877
1334,5463904
1335,743
1336,53422863
1337,6427135
1338,75320
1339,7982
1340,11813
1341,11513
1342,5364519
1343,12813
1344,62388
1345,10957
1346,3017783
1347,528106
1348,6019677
1349,441481
1350,643820
1351,278476
1352,520440
1353,117549
1354,11027
1355,8868
1356,5610
1357,95425
1358,447466
1359,108343
1360,108377
1361,16237
1362,108504
1363,522459
1364,82635
1365,61523
1366,637522
1367,7958
1368,79048
1369,79032
1370,1201518
1371,3021670
1372,443160
1373,18433856
1374,47167
1375,109323
1376,79546
1377,17008
1378,8063
1379,108312
1380,17697
1381,9016
1382,42011
1383,6997371
1384,569214
1385,5464156
1386,1712087
1387,6951559
1388,7129
1389,161528
1390,3776
1391,106673
1392,7757
1393,33645
1394,3734338
1395,71553170
1396,19876973
1397,92739
1398,122903
1399,3084571
1400,525462
1401,5321277
1402,6433147
1403,643460
1404,62132
1405,72607
1406,6428926
1407,522214
1408,7802
1409,6987
1410,16821
1411,56844159
1412,12377
1413,87582
1414,5312586
1415,62332
1416,12508
1417,10892
1418,73285
1419,111376
1420,10821
1421,5365137
1422,82202
1423,6428986
1424,105844
1425,10911
1426,95539
1427,22150013
1428,112446
1429,356
1430,106713
1431,7283
1432,12299
1433,60983
1434,6873
1435,85567
1436,73045098
1437,26808
1438,11435352
1439,87793
1440,107561
1441,528108
1442,108424
1443,2724279
1444,61362
1445,7567181
1446,104307
1447,12217
1448,7961
1449,7438
1450,10986465
1451,3018936
1452,61024
1453,22861753
1454,5463855
1455,560572
1456,4180364
1457,527441
1458,10778
1459,22445528
1460,8209
1461,5281534
1462,24473
1463,5362592
1464,11196546
1465,519564
1466,61184
1467,137980
1468,9025
1469,10743
1470,7222
1471,6435903
1472,971
1473,88302
1474,94403
1475,140511
1476,5271566
1477,27208
1478,1549041
1479,5356259
1480,38688
1481,6566009
1482,5365872
1483,6932095
1484,527498
1485,62069
1486,62240
1487,61466
1488,86592
1489,30248
1490,16872
1491,181575
1492,72
1493,81784
1494,7976
1495,12232
1496,66341
1497,11467
1498,1045
1499,5352836
1500,31225
1501,439655
1502,61527
1503,91604
1504,109257
1505,9834606
1506,14837639
1507,5352807
1508,660
1509,62424
1510,7166
1511,6429325
1512,7160826
1513,6436727
1514,8077
1515,16997
1516,21310069
1517,23716
1518,1001
1519,5362782
1520,61743
1521,520667
1522,10220190
1523,6365994
1524,5352000
1525,6949
1526,86016
1527,93847
1528,6436546
1529,106917
1530,20138
1531,158410
1532,7826
1533,6429214
1534,20158044
1535,31284
1536,12748
1537,103379
1538,1548943
1539,86597
1540,16368
1541,5370364
1542,596375
1543,68490
1544,6365449
1545,519732
1546,637528
1547,7146
1548,75695
1549,10902
1550,102817
1551,6437599
1552,2758
1553,61294
1554,7843
1555,110365
1556,16617
1557,5364942
1558,35408
1559,111416
1560,6561
1561,16678
1562,53338773
1563,118225
1564,24513
1565,8888
1566,62333
1567,7130
1568,109470
1569,7661
1570,3085845
1571,521246
1572,7651
1573,7981
1574,117483
1575,26318
1576,25238
1577,66093
1578,11684
1579,5143
1580,25208
1581,90246
1582,68470
1583,25311
1584,17029
1585,316771
1586,84682
1587,7122
1588,61385
1589,8029
1590,6452049
1591,6386721
1592,8186
1593,61125
1594,142629
1595,569008
1596,5362720
1597,7467
1598,7509
1599,6669
1600,10966
1601,93081
1602,73918
1603,6590
1604,62367
1605,87762
1606,443162
1607,106823
1608,11463
1609,118134
1610,12578
1611,86579
1612,6436632
1613,557222
1614,21085
1615,89382
1616,11167
1617,27941
1618,5281532
1619,44152604
1620,7633
1621,8843
1622,51
1623,103212
1624,5366077
1625,26334
1626,42674
1627,67005
1628,79541
1629,536502
1630,6427078
1631,12571
1632,520484
1633,5352799
1634,104722
1635,65288
1636,24120
1637,106963
1638,526624
1639,537722
1640,5364959
1641,11838
1642,399848
1643,106734
1644,5634
1645,53423759
1646,29096
1647,102815
1648,62002
1649,61455
1650,3034893
1651,3080674
1652,8038
1653,20560352
1654,539829
1655,6114390
1656,174845
1657,68481
1658,61584
1659,14242
1660,10353
1661,62539
1662,1623625
1663,6623
1664,10877336
1665,5281167
1666,13572
1667,61418
1668,6437247
1669,7654
1670,13576
1671,49853465
1672,524504
1673,121723
1674,12570
1675,46779070
1676,7803
1677,5357156
1678,62337
1679,5362830
1680,6437103
1681,11210019
1682,7852
1683,6184
1684,109507
1685,61447
1686,14489
1687,108940
1688,7057988
1689,162452
1690,802
1691,101087
1692,5356352
1693,19188
1694,101115
1695,21503
1696,121596001
1697,10460
1698,21933618
1699,71587032
1700,61085
1701,6427788
1702,26049
1703,11041412
1704,5368785
1705,7360
1706,8013
1707,64832
1708,11967982
1709,929262
1710,6420388
1711,107113
1712,41690
1713,61159
1714,3017596
1715,116699
1716,5370448
1717,69220
1718,18554
1719,543323
1720,62901
1721,80606
1722,6405
1723,6386
1724,100990
1725,10976
1726,18458
1727,11062802
1728,92138
1729,61451
1730,444305
1731,61293
1732,85053
1733,582941
1734,19725
1735,61177
1736,702
1737,778574
1738,5463936
1739,62913
1740,106937
1741,520990
1742,5364919
1743,61030
1744,7790
1745,6416
1746,528698
1747,528712
1748,764139
1749,5363141
1750,1550884
1751,5365622
1752,24834
1753,12514
1754,21859
1755,5365587
1756,8283
1757,86736
1758,7765
1759,25812
1760,8031
1761,442474
1762,68932
1763,519757
1764,7822
1765,11142
1766,6364671
1767,14985
1768,6435834
1769,16299
1770,170284
1771,59870763
1772,8034
1773,520125
1774,31247
1775,6436369
1776,16925
1777,91340
1778,4276
1779,8499
1780,31264
1781,579336
1782,229153
1783,5363374
1784,5320128
1785,6914062
1786,175612
1787,7792
1788,24835
1789,10890
1790,6428959
1791,9964407
1792,121777
1793,8067
1794,49993
1795,1615097
1796,11516
1797,6434275
1798,81964
1799,92780
1800,44182035
1801,114506
1802,6951558
1803,12294
1804,118262
1805,11378760
1806,266588
1807,589365
1808,66595
1809,10969850
1810,51330
1811,5370646
1812,1550846
1813,219794
1814,80584
1815,5326159
1816,61204
1817,3458885
1818,77756
1819,15101542
1820,158411
1821,89440
1822,6432696
1823,10722
1824,579338
1825,112002
1826,20219
1827,2969
1828,5144
1829,161437
1830,118111
1831,92606
1832,61209
1833,5364949
1834,7937
1835,520148
1836,10176245
1837,6999854
1838,985
1839,444090
1840,637564
1841,61592
1842,6430804
1843,6366072
1844,20838880
1845,103659
1846,114416
1847,70694
1848,576026
1849,3085812
1850,11732
1851,13213649
1852,166246
1853,1042025
1854,53374958
1855,10869
1856,43598
1857,519382
1858,7393
1859,106441
1860,96461
1861,6428785
1862,3021997
1863,6374
1864,68128
1865,46779102
1866,24114
1867,85730
1868,6999980
1869,81659
1870,95560
1871,118148
1872,528699
1873,71587703
1874,71587152
1875,644160
1876,57370186
1877,6437044
1878,81769
1879,637920
1880,11761
1881,1145
1882,5281531
1883,20831821
1884,4047281
1885,7965
1886,10285
1887,71049629
1888,16324
1889,22182954
1890,105516
1891,92043553
1892,5363491
1893,528127
1894,114454
1895,22329
1896,6566010
1897,62145
1898,145858
1899,61124
1900,576263
1901,61283
1902,50090
1903,520682
1904,11008539
1905,109116
1906,31242
1907,10953
1908,7778
1909,95136
1910,521238
1911,55250280
1912,61405
1913,281254
1914,12278
1915,5367682
1916,5978897
1917,529635
1918,83653
1919,83367
1920,102681
1921,13013009
1922,526152
1923,75033
1924,441574
1925,193527
1926,11524
1927,32196
1928,94935
1929,5463908
1930,92814
1931,311
1932,92833
1933,61519
1934,87499
1935,6437020
1936,104512
1937,7957
1938,2116
1939,69467
1940,103607
1941,5281553
1942,10878761
1943,86278333
1944,8894
1945,175553
1946,94648
1947,61047
1948,7887
1949,29381
1950,586292
1951,70506
1952,5282726
1953,61092
1954,5367762
1955,14638401
1956,87813
1957,119800
1958,112122
1959,7247
1960,5352438
1961,93009
1962,5366038
1963,70368
1964,9012
1965,162002
1966,537754
1967,57090934
1968,6433214
1969,6441535
1970,527821
1971,163261
1972,1201529
1973,5368950
1974,67179
1975,448893
1976,8362
1977,169223
1978,3032390
1979,30249
1980,109114
1981,91226
1982,11658397
1983,16667664
1984,13026600
1985,242
1986,643779
1987,3017534
1988,10041
1989,81045
1990,105595
1991,90785
1992,105664
1993,106735
1994,5283335
1995,25185
1996,78941
1997,83036
1998,62217
1999,82694
2000,103310
2001,166450
2002,14344497
2003,5905098
2004,548275
2005,15605
2006,16970
2007,449290
2008,103381
2009,443158
2010,785330
2011,42745
2012,172501
2013,163546
2014,443135
2015,39655
2016,3102
2017,5365136
2018,92301
2019,348502
2020,146586
2021,10199004
2022,81221
2023,10534
2024,85517881
2025,7658
2026,90776
2027,5352822
2028,441644
2029,92649
2030,61168
2031,10993
2032,15306
2033,20839647
2034,236687
2035,113425
2036,8048
2037,25239
2038,61041
2039,529068
2040,527268
2041,5375218
2042,11573
2043,31246
2044,61450
2045,66955
2046,7738
2047,520567
2048,552003
2049,7473
2050,1757003
2051,12003251
2052,7945
2053,444294
2054,6560
2055,542762
2056,31289
2057,61183
2058,3020011
2059,62698
2060,22011445
2061,11527
2062,103377
2063,12198
2064,6548
2065,12180
2066,7652
2067,67350
2068,522834
2069,6427068
2070,6285057
2071,60982
2072,61409
2073,162512
2074,576240
2075,100968
2076,6429308
2077,91195
2078,32594
2079,10398656
2080,5367530
2081,20831806
2082,723
2083,14257
2084,108313
2085,61054
2086,77743
2087,637513
2088,5324489
2089,6431015
2090,169818
2091,76152
2092,444539
2093,74201
2094,8456
2095,109319
2096,530404
2097,8073
2098,87947
2099,2724898
2100,5371802
2101,5463846
2102,45056
2103,61812
2104,6428928
2105,65287
2106,85903
2107,156605
2108,61016
2109,6437138
2110,11962784
2111,8139
2112,6437407
2113,62900
2114,5283352
2115,22568
2116,14234
2117,7742
2118,96325
2119,519890
2120,303710
2121,74977
2122,109332
2123,54281757
2124,1567
2125,102816
2126,140649
2127,89306
2128,24261
2129,20332432
2130,119
2131,66356
2132,90848
2133,16592
2134,527435
2135,86751
2136,22757845
2137,8298
2138,95008
2139,18974564
2140,6438193
2141,94178
2142,37182
2143,12041
2144,6435040
2145,97854
2146,75486
2147,10290825
2148,8125
2149,112052
2150,6365152
2151,13580494
2152,61516
2153,221634
2154,965
2155,184852
2156,17691
2157,112030
2158,8194
2159,562246
2160,6076971
2161,12191
2162,6432221
2163,637542
2164,453
2165,12082921
2166,73750
2167,8104
2168,552119
2169,12296
2170,101549
2171,102024
2172,73174
2173,5314126
2174,166527
2175,157342
2176,19782729
2177,5280755
2178,7860
2179,638097
2180,16224907
2181,6441804
2182,18840
2183,11378500
2184,70796
2185,21156163
2186,3314
2187,53471638
2188,931
2189,14493
2190,15406
2191,53424302
2192,31210
2193,36224
2194,8815
2195,21554588
2196,61449
2197,92821
2198,86707
2199,175606
2200,170687
2201,7057942
2202,7460
2203,7057943
2204,93320
2205,170398
2206,5318042
2207,5362594
2208,7169
2209,6437428
2210,81894
2211,575451
2212,70797
2213,700
2214,104721
2215,20268659
2216,442482
2217,8748
2218,11566
2219,11127402
2220,26396
2221,228987
2222,6950307
2223,11367306
2224,74786
2225,522877
2226,6429268
2227,10889018
2228,10623
2229,61375
2230,9859094
2231,74915
2232,108507
2233,19233
2234,61130
2235,92231
2236,4100752
2237,22383
2238,16331
2239,12780
2240,4943
2241,6660
2242,11520
2243,7128
2244,40631
2245,5352543
2246,5510
2247,31234
2248,5318103
2249,962
2250,8087
2251,5365703
2252,6437290
2253,10128
2254,106217
2255,92292
2256,6885
2257,81591
2258,112049
2259,53425775
2260,82397
2261,6437805
2262,29251
2263,10402
2264,3023838
2265,17696
2266,62334
2267,7943
2268,6420258
2269,7659
2270,7095
2271,323
2272,929336
2273,11586787
2274,69460
2275,6437735
2276,12506
2277,98478
2278,108506
2279,12779
2280,105764
2281,20995
2282,87598
2283,16070752
2284,6022
2285,544628
2286,547350
2287,5315912
2288,50941
2289,5362696
2290,5365910
2291,61312
2292,5280483
2293,106216
2294,10899740
2295,23039305
2296,15606
2297,61926
2298,16063805
2299,108426
2300,17898
2301,222285
2302,29060
2303,31408
2304,528708
2305,637796
2306,8794
2307,90978
2308,61240
2309,3034463
2310,106729
2311,101989
2312,77837
2313,6441164
2314,6436339
2315,110867
2316,7755
2317,62092
2318,3018362
2319,1549040
2320,8012
2321,24020
2322,519915
2323,95495
2324,69320
2325,521185
2326,3025865
2327,7991
2328,3931
2329,101150
2330,5367681
2331,61014
2332,89385
2333,106826
2334,5987
2335,11005
2336,517970
2337,5352481
2338,61138
2339,61829
2340,53436632
2341,7478
2342,6912
2343,5780
2344,26204
2345,7703
2346,61370
2347,61072
2348,62017
2349,1549018
2350,14525
2351,6915922
2352,887
2353,118146
2354,526657
2355,14434313
2356,5937114
2357,12038
2358,6429261
2359,12072
2360,91697
2361,11428
2362,80407
2363,17903
2364,7795
2365,116736
2366,61631
2367,8831
2368,520888
2369,60985
2370,6429262
2371,71587038
2372,261
2373,109418
2374,335
2375,24838
2376,83268
2377,5371002
2378,15172
2379,9562584
2380,61027
2381,15984303
2382,5318599
2383,76889
2384,529345
2385,61278
2386,670
