,nAA,nBM,nAB,nN,N%,nCsp2,max_conj_path,RCI,NRS,NNRS,nR06,ARR,AP,D/Dtr06,Qindex,PCD,GATS8m,GATS8v,GGI4,P_VSA_LogP_5,P_VSA_MR_6,P_VSA_e_3,P_VSA_i_4,P_VSA_ppp_ar,P_VSA_ppp_con,P_VSA_ppp_cyc,P_VSA_charge_4,HOMA,CMBL,AROM,nRCOOR,nRCHO,nOHs,nSH,nPyrazines,C-025,C-028,C-036,O-060,S-106,SsSH,NsSH,minsSH,MaxsSH,T(N..N),B01[C-N],B02[C-N],B03[N-N],B07[C-O],F01[C-N],F02[C-N],F03[C-N],F03[C-O],F03[N-N],F07[C-O],G(N..N),Uc,Ui,MDEC-33,MDEO-12,MDEN-22,nLevel6,phLevel1,s4_numSharedNeighbors,s4_numRotBonds
7410,6,7,6,0,0.0,7,8,1.0,1,1.0,1,0.666666666666667,0.666666666666667,26.647619047619,5,1.35941494309407,0.0,0.0,0.191111111111111,3.18557495074005,55.700289650173,0.0,0.0,50.5668123178907,80.8452166825908,50.5668123178907,0.0,0.839726117020745,1.39494099158351,0.999910586081009,0,0,0,0,0,1,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,0,0.0,3.0,2.32192809488736,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7762,0,1,0,0,0.0,1,0,0.0,0,0.0,0,0.0,0.0,0.0,1,0.173271721274037,0.0,0.0,0.08,10.9998878876064,7.19133047612651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
8051,0,1,0,0,0.0,1,0,0.0,0,0.0,0,0.0,0.0,0.0,1,0.173271721274037,0.0,0.0,0.16,0.0,5.13347733228232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8094,0,1,0,0,0.0,1,0,0.0,0,0.0,0,0.0,0.0,0.0,1,0.160342650075179,2.2479319034094,0.82677350561082,0.16,0.0,0.909874472903056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,2,0,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8130,0,1,0,0,0.0,1,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.173271721274037,1.71695333140228,0.415841927957047,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8500,6,7,6,0,0.0,7,8,1.0,1,1.0,1,0.6,0.6,30.5142857142857,6,1.35523176917871,0.0,0.0,0.382222222222222,6.3711499014801,49.4096171274829,0.0,0.0,44.2761397952006,74.5545441599007,44.2761397952006,0.0,0.838019020995429,1.39492377569529,0.9999120564939,0,0,0,0,0,2,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,0,0.0,3.0,2.32192809488736,1.31037069710445,0.0,0.0,0.0,0.0,0.0,0.0
8842,0,1,0,0,0.0,2,0,0.0,0,0.0,0,0.0,0.0,0.0,2,0.306166887125884,0.4991746628292,0.571353531905398,0.16,3.18557495074005,3.18557495074005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,1,0.0,1.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,2.0
10409,0,1,0,0,0.0,1,0,1.0,1,1.0,0,0.0,0.0,0.0,4,0.107311735789088,1.11510253624568,1.10835302470477,0.16,0.0,5.13347733228232,0.0,0.0,0.0,0.0,40.6169216810824,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,2,0,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10430,0,1,0,0,0.0,1,0,0.0,0,0.0,0,0.0,0.0,0.0,2,0.188052231502939,0.0,0.0,0.0,0.0,0.909874472903056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
10925,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.563628990611,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,4.05996913580247,1,4.05996913580247,4.05996913580247,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11583,0,1,0,0,0.0,1,0,0.0,0,0.0,0,0.0,0.0,0.0,1,0.188052231502939,0.0,0.0,0.16,0.0,5.13347733228232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15510,0,0,0,0,0.0,0,0,1.0,1,1.0,0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1381269568,38.563628990611,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,4.29243827160494,1,4.29243827160494,4.29243827160494,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16666,0,0,0,0,0.0,0,0,1.0,1,1.0,1,0.0,0.0,34.3809523809524,7,0.0,0.0,0.0,0.493333333333333,0.0,0.0,0.0,0.0,0.0,0.0,7.60359521760002,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,0,0.0,0.0,0.0,3.14734519026494,0.0,0.0,0.0,0.333333333333333,2.33333333333333,0.666666666666667
16724,0,3,0,0,0.0,5,4,1.0,1,1.0,1,0.0,0.0,34.3809523809524,7,0.63907995928967,0.0,0.0,0.653333333333334,6.3711499014801,27.2715472298826,0.0,0.0,0.0,42.9402267888702,22.8643632348525,0.0,-0.216619261347062,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,0,0.0,2.0,2.0,2.94168275343288,0.0,0.0,0.0,0.0,2.0,0.0
