"","full_pcorr_Euc","full_mse_Euc","full_pcorr_cor","full_mse_cor","full_pcorr_cos","full_mse_cos","lambda"
"s326",0.658684723004882,15.5981045609094,0.330584458981974,0.00928634637037296,0.246536792266478,0.01784013974578,0.975975975975976
"s327",0.658532945113849,15.6046647818662,0.33051919192963,0.00928737526153054,0.246488911369409,0.0178411722757456,0.978978978978979
"s328",0.658381371233953,15.6112114020706,0.330454126500944,0.00928840095311634,0.246441154199772,0.0178422018713761,0.981981981981982
"s329",0.658230001020197,15.6177444656551,0.330389261744119,0.00928942346106623,0.246393520238889,0.0178432285459413,0.984984984984985
"s330",0.658078834128071,15.6242640165773,0.330324596713603,0.00929044280120551,0.246346008971539,0.0178442523126284,0.987987987987988
"s331",0.657927870213548,15.6307700986205,0.330260130470024,0.00929145898924995,0.24629861988592,0.0178452731845422,0.990990990990991
"s332",0.657777108933094,15.637262755394,0.330195862080152,0.00929247204080673,0.246251352473617,0.0178462911747059,0.993993993993994
"s333",0.657626549943661,15.643742030334,0.330131790616834,0.00929348197137542,0.246204206229559,0.0178473062960618,0.996996996996997
"s334",0.657476192902694,15.6502079667039,0.330067915158943,0.00929448879634891,0.246157180651992,0.017848318561472,1
"s335",0.657326037468131,15.6566606075951,0.33000423479133,0.00929549253101438,0.246110275242437,0.017849327983719,1.003003003003
"s336",0.657176083298405,15.6630999959278,0.329940748604758,0.0092964931905542,0.246063489505666,0.0178503345755062,1.00600600600601
"s337",0.657026330052444,15.6695261744509,0.32987745569587,0.00929749079004688,0.246016822949659,0.0178513383494587,1.00900900900901
"s338",0.656876777389671,15.6759391857432,0.329814355167118,0.00929848534446796,0.245970275085576,0.0178523393181238,1.01201201201201
"s339",0.656727424970009,15.682339072214,0.329751446126733,0.00929947686869091,0.245923845427725,0.0178533374939717,1.01501501501502
"s340",0.656578272453881,15.6887258761033,0.329688727688657,0.00930046537748803,0.245877533493527,0.0178543328893962,1.01801801801802
"s341",0.656429319502207,15.6950996394828,0.329626198972502,0.00930145088553134,0.245831338803488,0.0178553255167149,1.02102102102102
"s342",0.656280565776413,15.7014604042562,0.329563859103505,0.00930243340739343,0.245785260881167,0.0178563153881704,1.02402402402402
"s343",0.656132010938422,15.70780821216,0.329501707212474,0.00930341295754834,0.245739299253143,0.0178573025159303,1.02702702702703
"s344",0.655983654650664,15.7141431047643,0.32943974243574,0.00930438955037241,0.245693453448988,0.0178582869120883,1.03003003003003
"s345",0.655835496576071,15.7204651234728,0.329377963915114,0.00930536320014515,0.245647723001239,0.0178592685886644,1.03303303303303
"s346",0.655687536378083,15.7267743095242,0.329316370797837,0.00930633392105002,0.245602107445362,0.0178602475576057,1.03603603603604
"s347",0.655539773720641,15.7330707039921,0.329254962236539,0.00930730172717529,0.245556606319729,0.0178612238307867,1.03903903903904
"s348",0.655392208268197,15.7393543477861,0.329193737389189,0.00930826663251489,0.245511219165588,0.0178621974200102,1.04204204204204
"s349",0.655244839685707,15.7456252816522,0.32913269541905,0.00930922865096915,0.245465945527038,0.0178631683370077,1.04504504504505
"s350",0.655097667638638,15.7518835461737,0.329071835494635,0.00931018779634568,0.245420784950994,0.0178641365934399,1.04804804804805
"s351",0.654950691792962,15.7581291817713,0.32901115678967,0.00931114408236011,0.245375736987167,0.0178651022008973,1.05105105105105
"s352",0.654803911815165,15.7643622287041,0.328950658483035,0.00931209752263687,0.245330801188035,0.0178660651709008,1.05405405405405
"s353",0.654657327372236,15.7705827270705,0.328890339758741,0.00931304813071001,0.245285977108813,0.0178670255149022,1.05705705705706
"s354",0.654510938131682,15.776790716808,0.328830199805874,0.00931399592002394,0.245241264307434,0.0178679832442846,1.06006006006006
"s355",0.654364743761514,15.7829862376947,0.328770237818549,0.00931494090393421,0.245196662344517,0.0178689383703631,1.06306306306306
"s356",0.654218743930259,15.7891693293493,0.328710452995888,0.00931588309570823,0.245152170783345,0.0178698909043852,1.06606606606607
"s357",0.654072938306954,15.795340031232,0.328650844541955,0.00931682250852605,0.245107789189837,0.0178708408575315,1.06906906906907
"s358",0.653927326561147,15.8014983826453,0.328591411665734,0.00931775915548108,0.245063517132528,0.0178717882409161,1.07207207207207
"s359",0.6537819083629,15.8076444227341,0.328532153581081,0.00931869304958083,0.245019354182545,0.0178727330655868,1.07507507507508
"s360",0.653636683382787,15.813778190487,0.328473069506683,0.00931962420374762,0.24497529991357,0.0178736753425263,1.07807807807808
"s361",0.653491651291896,15.8198997247362,0.328414158666022,0.00932055263081931,0.244931353901838,0.0178746150826519,1.08108108108108
"s362",0.653346811761829,15.8260090641589,0.328355420287334,0.00932147834354998,0.244887515726095,0.0178755522968168,1.08408408408408
"s363",0.653202164464699,15.8321062472774,0.328296853603568,0.00932240135461071,0.244843784967582,0.0178764869958098,1.08708708708709
"s364",0.653057709073135,15.8381913124596,0.328238457852358,0.00932332167659014,0.244800161210018,0.0178774191903563,1.09009009009009
"s365",0.652913445260281,15.8442642979204,0.328180232275973,0.00932423932199528,0.244756644039566,0.0178783488911187,1.09309309309309
"s366",0.652769372699792,15.8503252417213,0.328122176121291,0.00932515430325213,0.24471323304482,0.0178792761086968,1.0960960960961
"s367",0.652625491065842,15.8563741817719,0.328064288639747,0.00932606663270636,0.244669927816778,0.017880200853628,1.0990990990991
"s368",0.652481800033115,15.8624111558301,0.328006569087311,0.00932697632262399,0.244626727948826,0.0178811231363885,1.1021021021021
"s369",0.652338299276814,15.8684362015028,0.327949016724448,0.00932788338519204,0.244583633036709,0.017882042967393,1.10510510510511
"s370",0.652194988472654,15.8744493562464,0.32789163081608,0.00932878783251918,0.244540642678518,0.0178829603569955,1.10810810810811
"s371",0.652051867296867,15.8804506573678,0.32783441063155,0.00932968967663638,0.244497756474661,0.0178838753154898,1.11111111111111
"s372",0.651908935426197,15.8864401420245,0.327777355444584,0.00933058892949754,0.244454974027851,0.0178847878531097,1.11411411411411
"s373",0.651766192537908,15.8924178472258,0.32772046453327,0.00933148560298015,0.244412294943081,0.0178856979800298,1.11711711711712
"s374",0.651623638309774,15.8983838098328,0.327663737180013,0.00933237970888587,0.244369718827601,0.0178866057063657,1.12012012012012
"s375",0.651481272420087,15.9043380665597,0.327607172671492,0.00933327125894122,0.244327245290911,0.0178875110421743,1.12312312312312
"s376",0.651339094547653,15.9102806539737,0.327550770298651,0.00933416026479814,0.244284873944724,0.0178884139974546,1.12612612612613
"s377",0.651197104371794,15.9162116084963,0.32749452935664,0.00933504673803458,0.244242604402958,0.017889314582148,1.12912912912913
"s378",0.651055301572346,15.9221309664034,0.3274384491448,0.00933593069015519,0.24420043628172,0.0178902128061385,1.13213213213213
"s379",0.650913685829662,15.9280387638263,0.327382528966625,0.0093368121325918,0.244158369199277,0.0178911086792534,1.13513513513514
"s380",0.650772256824606,15.9339350367519,0.327326768129725,0.00933769107670413,0.24411640277604,0.0178920022112635,1.13813813813814
"s381",0.650631014238561,15.9398198210238,0.327271165945801,0.00933856753378028,0.244074536634556,0.0178928934118837,1.14114114114114
"s382",0.650489957753422,15.9456931523426,0.327215721730606,0.00933944151503737,0.244032770399477,0.0178937822907734,1.14414414414414
"s383",0.6503490870516,15.9515550662664,0.327160434803924,0.00934031303162206,0.243991103697548,0.0178946688575366,1.14714714714715
"s384",0.65020840181602,15.9574055982119,0.32710530448953,0.00934118209461116,0.24394953615759,0.0178955531217227,1.15015015015015
"s385",0.65006790173012,15.9632447834544,0.327050330115161,0.00934204871501219,0.243908067410484,0.0178964350928269,1.15315315315315
"s386",0.649927586477855,15.9690726571289,0.32699551101249,0.00934291290376391,0.243866697089146,0.01789731478029,1.15615615615616
"s387",0.649787455743691,15.9748892542306,0.326940846517093,0.00934377467173689,0.24382542482852,0.0178981921934996,1.15915915915916
"s388",0.64964750921261,15.9806946096151,0.326886335968417,0.00934463402973404,0.243784250265555,0.0178990673417899,1.16216216216216
"s389",0.649507746570106,15.9864887579997,0.326831978709751,0.00934549098849119,0.243743173039191,0.0178999402344425,1.16516516516517
"s390",0.649368167502188,15.9922717339634,0.326777774088206,0.00934634555867757,0.243702192790342,0.0179008108806863,1.16816816816817
"s391",0.649228771695376,15.9980435719477,0.326723721454671,0.00934719775089637,0.243661309161881,0.0179016792896984,1.17117117117117
"s392",0.649089558836705,16.0038043062575,0.326669820163798,0.00934804757568528,0.243620521798619,0.017902545470604,1.17417417417417
